team,avg_position,avg_points,title_pct,top4_pct,relegation_pct
Arsenal,1.57236,80.61216,58.372,98.844,0.0
Man City,1.97936,77.36954,35.476,96.958,0.0
Liverpool,4.14918,66.87096,4.54,69.42399999999999,0.02
Chelsea,7.75636,57.42416,0.392,22.092,0.77
Man United,7.9706,56.99262,0.318,20.708,0.828
Aston Villa,8.2033,56.46544,0.25,18.632,0.928
Newcastle,8.4134,55.98516,0.216,16.977999999999998,1.06
Bournemouth,9.01172,54.88664,0.134,13.755999999999998,1.574
Brighton,9.45082,53.9811,0.11,11.512,2.072
Brentford,9.80226,53.24878,0.08800000000000001,9.926,2.492
Nott'm Forest,10.57502,51.78696,0.044000000000000004,7.022,3.678
Fulham,12.03102,48.92214,0.012,3.318,7.4719999999999995
Leeds,12.26558,48.53548,0.008,2.7279999999999998,7.617999999999999
Everton,12.39038,48.17864,0.013999999999999999,2.754,8.556
Tottenham,13.09688,46.82958,0.016,2.106,12.282
Crystal Palace,13.1815,46.62292,0.004,1.844,12.29
Sunderland,13.5296,45.95146,0.006,1.362,13.566
Coventry,17.49206,36.14972,0.0,0.018000000000000002,62.686
Ipswich,18.09898,34.03918,0.0,0.016,73.53
Hull,19.02962,29.9502,0.0,0.002,88.578
