team,avg_position,avg_points,title_pct,top4_pct,relegation_pct
Arsenal,1.15088,84.32584,88.222,99.812,0.0
Man City,3.12978,69.5968,7.172000000000001,83.626,0.006
Chelsea,4.3725,65.1074,2.812,64.932,0.078
Liverpool,5.8979,60.85464,0.9299999999999999,42.071999999999996,0.348
Brentford,7.67354,56.83674,0.28400000000000003,23.878,1.526
Man United,7.74948,56.69422,0.26,23.31,1.512
Newcastle,9.2491,53.64512,0.08,12.758,3.334
Bournemouth,9.30448,53.6606,0.096,13.072000000000001,3.486
Brighton,10.5107,51.36666,0.052,8.092,6.15
Nott'm Forest,11.44462,49.6488,0.026,5.34,9.428
Tottenham,11.46102,49.6285,0.016,5.408,9.364
Everton,11.67488,49.18452,0.018000000000000002,4.78,9.92
Aston Villa,11.77552,49.04496,0.02,4.546,10.312000000000001
Leeds,12.38774,47.97546,0.01,3.18,12.558
Crystal Palace,13.00094,46.79524,0.0,2.52,16.86
Fulham,14.5849,43.77478,0.0,0.9440000000000001,28.073999999999998
Sunderland,14.79668,43.34724,0.002,0.7979999999999999,29.68
Coventry,15.52134,41.85478,0.0,0.524,37.716
Ipswich,15.8608,41.1291,0.0,0.382,41.85
Hull,18.4532,34.13132,0.0,0.026,77.798
